,Country,Indicator,Value,Year
0,AZ,LUR_PT,5.7127,2008
1,AZ,LUR_PT,5.7535,2009
2,AZ,LUR_PT,5.6904,2010
3,AZ,LUR_PT,5.8617,2011
4,AZ,LUR_PT,5.2748,2012
5,AZ,LUR_PT,5.0596,2013
6,AZ,LUR_PT,4.9388,2014
7,AZ,LUR_PT,4.8786,2015
8,CO,LUR_PT,11.26875,2008
9,CO,LUR_PT,12.0125,2009
10,CO,LUR_PT,11.7825,2010
11,CO,LUR_PT,10.83325,2011
12,CO,LUR_PT,9.717,2012
13,CO,LUR_PT,9.001,2013
14,CO,LUR_PT,8.5176,2014
15,CO,LUR_PT,8.3217,2015
16,BB,LUR_PT,8.1175,2008
17,BB,LUR_PT,9.965,2009
18,BB,LUR_PT,10.7652,2010
19,BB,LUR_PT,11.1899,2011
20,BB,LUR_PT,11.5893,2012
21,BB,LUR_PT,11.7081,2013
22,BB,LUR_PT,12.289,2014
23,FI,LUR_PT,6.4,2008
24,FI,LUR_PT,8.2,2009
25,FI,LUR_PT,8.4,2010
26,FI,LUR_PT,7.8,2011
27,FI,LUR_PT,7.7,2012
28,FI,LUR_PT,8.2,2013
29,FI,LUR_PT,8.7,2014
30,FI,LUR_PT,9.4,2015
31,FI,LUR_PT,8.8,2016
32,BA,LUR_PT,40.125,2008
33,BA,LUR_PT,41.5083333333333,2009
34,BA,LUR_PT,42.8916666666667,2010
35,BA,LUR_PT,43.2806430591365,2011
36,BA,LUR_PT,44.1034074095793,2012
37,CY,LUR_PT,3.7,2008
38,CY,LUR_PT,5.4,2009
39,CY,LUR_PT,6.3,2010
40,CY,LUR_PT,7.9,2011
41,CY,LUR_PT,11.9,2012
42,CY,LUR_PT,15.9,2013
43,CY,LUR_PT,16.1333333333333,2014
44,CY,LUR_PT,15,2015
45,CY,LUR_PT,13.3,2016
46,AU,LUR_PT,4.2342,2008
47,AU,LUR_PT,5.5607,2009
48,AU,LUR_PT,5.2113,2010
49,AU,LUR_PT,5.0809,2011
50,AU,LUR_PT,5.2209,2012
51,AU,LUR_PT,5.6558,2013
52,AU,LUR_PT,6.0725,2014
53,AU,LUR_PT,6.061,2015
54,AU,LUR_PT,5.722,2016
55,BD,LUR_PT,missing,missing
56,CA,LUR_PT,6.1,2008
57,CA,LUR_PT,8.3,2009
58,CA,LUR_PT,8.1,2010
59,CA,LUR_PT,7.5,2011
60,CA,LUR_PT,7.3,2012
61,CA,LUR_PT,7.1,2013
62,CA,LUR_PT,6.9,2014
63,CA,LUR_PT,6.9,2015
64,CA,LUR_PT,7,2016
65,MO,LUR_PT,3,2008
66,MO,LUR_PT,3.5,2009
67,MO,LUR_PT,2.8,2010
68,MO,LUR_PT,2.6,2011
69,MO,LUR_PT,1.992,2012
70,MO,LUR_PT,1.8,2013
71,MO,LUR_PT,1.7,2014
72,MO,LUR_PT,1.8,2015
73,MO,LUR_PT,1.9,2016
74,CR,LUR_PT,4.9,2008
75,CR,LUR_PT,8.4,2009
76,CR,LUR_PT,7.3,2010
77,CR,LUR_PT,10.1935,2011
78,CR,LUR_PT,10.0815,2012
79,CR,LUR_PT,9.2997,2013
80,CR,LUR_PT,9.5913,2014
81,CR,LUR_PT,9.613,2015
82,DO,LUR_PT,14.1,2008
83,DO,LUR_PT,14.9,2009
84,DO,LUR_PT,14.1,2010
85,DO,LUR_PT,14.6,2011
86,DO,LUR_PT,14.7,2012
87,DO,LUR_PT,15.021,2013
88,DO,LUR_PT,14.5249,2014
89,BO,LUR_PT,7.92,2009
90,BO,LUR_PT,5.985,2010
91,BO,LUR_PT,3.83721861731955,2011
92,BO,LUR_PT,3.2217232313659,2012
93,BO,LUR_PT,4.02147018197105,2013
94,BO,LUR_PT,3.5433616289162,2014
95,GE,LUR_PT,16.4688879913744,2008
96,GE,LUR_PT,16.8504747258141,2009
97,GE,LUR_PT,16.2914811590545,2010
98,GE,LUR_PT,15.0617031726321,2011
99,GE,LUR_PT,15.0342976337975,2012
100,GE,LUR_PT,14.5631566453975,2013
101,GE,LUR_PT,12.3526169369573,2014
102,GE,LUR_PT,11.9504552784874,2015
103,CI,LUR_PT,missing,missing
104,BZ,LUR_PT,8.2,2008
105,BZ,LUR_PT,13.1,2009
106,BZ,LUR_PT,23.3,2010
107,BZ,LUR_PT,16.1,2012
108,BZ,LUR_PT,11.7,2013
109,DE,LUR_PT,7.54166666666667,2008
110,DE,LUR_PT,8.125,2009
111,DE,LUR_PT,7.7,2010
112,DE,LUR_PT,7.05833333333333,2011
113,DE,LUR_PT,6.83333333333333,2012
114,DE,LUR_PT,6.875,2013
115,DE,LUR_PT,6.7,2014
116,DE,LUR_PT,4.6,2015
117,DE,LUR_PT,4.1,2016
118,EC,LUR_PT,6.905,2008
