,Country,Indicator,Value,Year
0,ET,FIGB_PA,4,2008
1,BJ,FIGB_PA,6.25,2015
2,GT,FIGB_PA,missing,missing
3,JM,FIGB_PA,missing,missing
4,MW,FIGB_PA,missing,missing
5,HN,FIGB_PA,missing,missing
6,ML,FIGB_PA,6.25,2014
7,UG,FIGB_PA,missing,missing
8,TT,FIGB_PA,missing,missing
9,ZW,FIGB_PA,missing,missing
10,PH,FIGB_PA,missing,missing
11,WS,FIGB_PA,missing,missing
12,LK,FIGB_PA,9.79,2015
