,Country,Indicator,Value,Year
0,FI,NGDP_PC_PP_PT,missing,missing
1,DK,NGDP_PC_PP_PT,missing,missing
2,PL,NGDP_PC_PP_PT,missing,missing
3,NO,NGDP_PC_PP_PT,missing,missing
