,Country,Indicator,Value,Year
0,AT,ENDA_XDC_USD_RATE,missing,missing
1,DE,ENDA_XDC_USD_RATE,missing,missing
2,FR,ENDA_XDC_USD_RATE,missing,missing
3,BE,ENDA_XDC_USD_RATE,missing,missing
4,FI,ENDA_XDC_USD_RATE,missing,missing
5,CY,ENDA_XDC_USD_RATE,missing,missing
6,IE,ENDA_XDC_USD_RATE,missing,missing
7,GR,ENDA_XDC_USD_RATE,missing,missing
8,IT,ENDA_XDC_USD_RATE,missing,missing
9,LU,ENDA_XDC_USD_RATE,missing,missing
10,MT,ENDA_XDC_USD_RATE,missing,missing
11,PT,ENDA_XDC_USD_RATE,missing,missing
12,SO,ENDA_XDC_USD_RATE,missing,missing
13,ES,ENDA_XDC_USD_RATE,missing,missing
14,NL,ENDA_XDC_USD_RATE,missing,missing
15,UZ,ENDA_XDC_USD_RATE,missing,missing
16,ZW,ENDA_XDC_USD_RATE,6723052073.3381,2008
17,SK,ENDA_XDC_USD_RATE,21.3614166666667,2008
18,TM,ENDA_XDC_USD_RATE,missing,missing
19,SI,ENDA_XDC_USD_RATE,missing,missing
